"Altitude (Km)","Geopotential Height (Km)","Temperature (°C)","Pressure (Pa)","Density (Kg m-3) ","Speed of Sound","Gravity Acceleration ","Dynamic
Viscosity (kg m-1 s-1)","Kinematic
Viscosity (m2/s)","Number
Density (m-3)","Particle
Speed (m/s)","Collision
Frequency (s-1)","Mean
free
Path (m)","Thermal
Conductivity (W / m K) ","Mol.
Weight (M)","Pressure
scale
Height (m)"
820,726.3,999.995,1.54E-08,9.69E-15,633.93,7.6937,4.15E-05,4.28E+09,1.12E+12,2013.65,1.33E-03,1.51E+06,0.0676,5.222,206964
825,730.2,999.996,1.5E-08,9.34E-15,633.93,7.683,4.15E-05,4.45E+09,1.09E+12,2027.55,1.31E-03,1.55E+06,0.0676,5.15,210122
830,734.1,999.996,1.47E-08,9E-15,633.93,7.6723,4.15E-05,4.61E+09,1.07E+12,2041.1,1.29E-03,1.58E+06,0.0676,5.082,213238
835,738.1,999.996,1.44E-08,8.68E-15,633.93,7.6616,4.15E-05,4.78E+09,1.04E+12,2054.32,1.27E-03,1.62E+06,0.0676,5.017,216308
840,742,999.997,1.4E-08,8.38E-15,633.93,7.651,4.15E-05,4.96E+09,1.02E+12,2067.18,1.25E-03,1.66E+06,0.0676,4.955,219330
845,745.9,999.997,1.37E-08,8.09E-15,633.93,7.6404,4.15E-05,5.13E+09,9.96E+11,2079.68,1.23E-03,1.70E+06,0.0676,4.895,222300
850,749.7,999.997,1.34E-08,7.82E-15,633.93,7.6298,4.15E-05,5.31E+09,9.74E+11,2091.83,1.21E-03,1.74E+06,0.0676,4.839,225216
855,753.6,999.997,1.31E-08,7.57E-15,633.93,7.6192,4.15E-05,5.49E+09,9.52E+11,2103.61,1.19E-03,1.77E+06,0.0676,4.784,228076
860,757.5,999.997,1.28E-08,7.32E-15,633.93,7.6087,4.15E-05,5.67E+09,9.32E+11,2115.03,1.17E-03,1.81E+06,0.0676,4.733,230879
865,761.4,999.998,1.26E-08,7.09E-15,633.93,7.5981,4.15E-05,5.85E+09,9.12E+11,2126.08,1.15E-03,1.85E+06,0.0676,4.684,233622
870,765.3,999.998,1.23E-08,6.87E-15,633.93,7.5876,4.15E-05,6.04E+09,8.92E+11,2136.77,1.13E-03,1.89E+06,0.0676,4.637,236304
875,769.1,999.998,1.2E-08,6.66E-15,633.93,7.5771,4.15E-05,6.23E+09,8.74E+11,2147.1,1.11E-03,1.93E+06,0.0676,4.593,238925
880,773,999.998,1.18E-08,6.46E-15,633.93,7.5667,4.15E-05,6.42E+09,8.56E+11,2157.08,1.09E-03,1.97E+06,0.0676,4.55,241485
885,776.8,999.998,1.15E-08,6.28E-15,633.93,7.5562,4.15E-05,6.62E+09,8.38E+11,2166.71,1.07E-03,2.02E+06,0.0676,4.51,243982
890,780.7,999.998,1.13E-08,6.1E-15,633.93,7.5458,4.15E-05,6.81E+09,8.21E+11,2176,1.06E-03,2.06E+06,0.0676,4.471,246419
895,784.5,999.999,1.11E-08,5.92E-15,633.93,7.5354,4.15E-05,7.01E+09,8.04E+11,2184.96,1.04E-03,2.10E+06,0.0676,4.435,248795
900,788.4,999.999,1.09E-08,5.76E-15,633.93,7.525,4.15E-05,7.21E+09,7.88E+11,2193.6,1.02E-03,2.14E+06,0.0676,4.4,251112
905,792.2,999.999,1.07E-08,5.6E-15,633.93,7.5146,4.15E-05,7.41E+09,7.73E+11,2201.92,1.01E-03,2.19E+06,0.0676,4.367,253370
910,796,999.999,1.05E-08,5.45E-15,633.93,7.5043,4.15E-05,7.62E+09,7.57E+11,2209.95,9.91E-04,2.23E+06,0.0676,4.335,255573
915,799.9,999.999,1.03E-08,5.31E-15,633.94,7.494,4.15E-05,7.82E+09,7.42E+11,2217.68,9.75E-04,2.28E+06,0.0676,4.305,257719
920,803.7,999.999,1.01E-08,5.17E-15,633.94,7.4837,4.15E-05,8.03E+09,7.28E+11,2225.14,9.59E-04,2.32E+06,0.0676,4.276,259811
925,807.5,999.999,9.88E-09,5.04E-15,633.94,7.4734,4.15E-05,8.24E+09,7.14E+11,2232.32,9.44E-04,2.37E+06,0.0676,4.249,261850
930,811.3,999.999,9.69E-09,4.91E-15,633.94,7.4632,4.15E-05,8.45E+09,7.00E+11,2239.24,9.28E-04,2.41E+06,0.0676,4.222,263840
935,815.1,999.999,9.51E-09,4.79E-15,633.94,7.4529,4.15E-05,8.67E+09,6.87E+11,2245.93,9.14E-04,2.46E+06,0.0676,4.197,265781
940,818.9,999.999,9.34E-09,4.67E-15,633.94,7.4427,4.15E-05,8.89E+09,6.74E+11,2252.38,8.99E-04,2.51E+06,0.0676,4.173,267676
945,822.7,999.999,9.17E-09,4.56E-15,633.94,7.4325,4.15E-05,9.10E+09,6.62E+11,2258.61,8.85E-04,2.55E+06,0.0676,4.15,269529
950,826.5,999.999,9E-09,4.45E-15,633.94,7.4224,4.15E-05,9.33E+09,6.50E+11,2264.65,8.71E-04,2.60E+06,0.0676,4.128,271343
955,830.3,999.999,8.84E-09,4.35E-15,633.94,7.4122,4.15E-05,9.55E+09,6.38E+11,2270.5,8.57E-04,2.65E+06,0.0676,4.107,273122
960,834,999.999,8.68E-09,4.25E-15,633.94,7.4021,4.15E-05,9.77E+09,6.26E+11,2276.19,8.44E-04,2.70E+06,0.0676,4.086,274868
965,837.8,999.999,8.52E-09,4.15E-15,633.94,7.392,4.15E-05,1.00E+10,6.15E+11,2281.74,8.30E-04,2.75E+06,0.0676,4.067,276586
970,841.6,1000,8.37E-09,4.06E-15,633.94,7.3819,4.15E-05,1.02E+10,6.04E+11,2287.15,8.18E-04,2.80E+06,0.0676,4.047,278280
975,845.3,1000,8.22E-09,3.97E-15,633.94,7.3718,4.15E-05,1.05E+10,5.93E+11,2292.46,8.05E-04,2.85E+06,0.0676,4.029,279955
980,849.1,1000,8.08E-09,3.88E-15,633.94,7.3618,4.15E-05,1.07E+10,5.83E+11,2297.68,7.93E-04,2.90E+06,0.0676,4.01,281615
985,852.8,1000,7.93E-09,3.8E-15,633.94,7.3518,4.15E-05,1.09E+10,5.73E+11,2302.84,7.81E-04,2.95E+06,0.0676,3.992,283266
990,856.6,1000,7.79E-09,3.72E-15,633.94,7.3418,4.15E-05,1.12E+10,5.63E+11,2307.94,7.69E-04,3.00E+06,0.0676,3.975,284912
995,860.3,1000,7.65E-09,3.64E-15,633.94,7.3318,4.15E-05,1.14E+10,5.54E+11,2313.03,7.58E-04,3.05E+06,0.0676,3.957,286558
1000,864.1,1000,7.51E-09,3.56E-15,633.94,7.3218,4.15E-05,1.17E+10,5.44E+11,2318.12,7.47E-04,3.10E+06,0.0676,3.94,288212
